danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,chorus_hit,sections,decade,target
0.691,0.873,-3.519,0.151,0.125,0.0,0.0913,0.538,99.997,243400,66.01003,8,00s,1
0.148,0.00837,-36.498,0.0522,0.993,0.979,0.0706,0.0392,139.143,87373,40.53061,3,00s,0
0.639,0.605,-9.177,0.0335,0.705,0.0888,0.0761,0.642,94.182,331960,62.43262,15,70s,1
0.844,0.526,-10.47,0.253,0.369,0.00572,0.308,0.616,97.813,314467,42.02882,13,70s,1
0.445,0.804,-10.478,0.0575,0.218,0.00714,0.191,0.733,155.184,185733,37.19213,7,70s,0
0.505,0.635,-9.575,0.0267,0.0887,0.0,0.0581,0.696,137.811,212093,45.01472,11,80s,1
0.463,0.284,-14.114,0.0285,0.771,4.43e-06,0.132,0.148,94.027,341658,29.16502,16,00s,0
0.463,0.463,-12.178,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,21.74699,5,60s,0
0.356,0.988,-5.186,0.149,0.00148,0.00071,0.0965,0.36,138.265,172173,96.21917,5,90s,1
0.66,0.264,-12.593,0.037,0.622,0.0,0.354,0.781,98.929,149200,63.15476,6,60s,0
0.723,0.891,-4.31,0.131,0.122,0.0,0.379,0.884,163.995,213766,59.75172,10,10s,1
0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,13.73329,8,10s,1
0.389,0.29,-11.868,0.0393,0.406,3.97e-05,0.0758,0.158,185.005,181293,31.72051,10,60s,1
0.365,0.878,-7.237,0.202,6.41e-05,0.000395,0.665,0.759,98.002,111413,31.74047,6,90s,0
0.467,0.457,-14.086,0.0406,0.569,0.454,0.833,0.446,115.694,582840,56.8888,17,60s,0
0.451,0.523,-5.53,0.0905,0.382,0.0,0.0752,0.393,186.056,278947,28.79223,13,00s,1
0.353,0.318,-15.826,0.0304,0.574,0.907,0.162,0.283,140.545,503360,79.71556,20,70s,0
0.498,0.668,-9.657,0.0345,0.0559,0.767,0.145,0.763,95.86,185093,32.0746,7,70s,0
0.663,0.76,-4.763,0.0286,0.0388,0.903,0.0721,0.647,110.724,306213,22.97214,17,00s,0
0.794,0.957,-6.444,0.0619,0.00197,0.823,0.432,0.863,124.003,379355,62.42556,11,80s,0
0.448,0.259,-11.563,0.0325,0.548,2.41e-06,0.32,0.543,93.9,123960,37.55572,7,60s,0
0.5,0.199,-15.773,0.0316,0.866,0.000806,0.202,0.364,91.819,144773,34.86454,10,60s,1
0.279,0.171,-17.239,0.037,0.95,0.154,0.141,0.169,61.778,368493,39.32569,17,70s,0
0.626,0.579,-9.198,0.242,0.68,0.0,0.0665,0.757,92.754,332147,43.76655,13,80s,0
0.716,0.541,-7.909,0.149,0.0021,0.0,0.115,0.387,139.978,247055,42.92595,9,10s,1
0.54,0.456,-6.133,0.0274,0.201,0.0,0.12,0.355,92.988,239947,38.41405,12,90s,0
0.219,0.452,-7.001,0.0306,0.779,0.96,0.178,0.428,178.261,125693,53.06638,6,70s,0
0.426,0.747,-12.469,0.0897,3.05e-05,0.00357,0.158,0.285,102.562,268360,44.28483,9,80s,0
0.577,0.936,-4.179,0.0915,0.0839,0.0,0.344,0.572,153.985,211547,25.54091,12,00s,0
0.552,0.909,-6.206,0.0719,0.74,3.02e-05,0.0906,0.771,143.736,124560,27.35496,7,60s,1
0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,44.2353,11,90s,1
0.331,0.852,-13.329,0.149,0.00319,0.00234,0.095,0.301,148.275,151507,22.09593,9,80s,0
0.882,0.518,-12.493,0.0385,0.0368,0.158,0.0851,0.967,126.134,460747,65.4607,16,70s,1
0.441,0.8,-3.268,0.0365,0.267,0.0,0.101,0.204,151.011,252800,29.92167,12,00s,1
0.839,0.641,-5.669,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,242560,31.66948,10,00s,1
0.736,0.449,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,50.95481,8,10s,1
0.408,0.41,-20.076,0.0387,0.528,0.877,0.104,0.709,96.139,325507,51.03844,18,70s,0
0.455,0.27,-11.789,0.0351,0.721,0.0,0.288,0.3,108.722,196467,22.4236,11,70s,0
0.615,0.964,-2.588,0.0764,0.224,0.0,0.947,0.871,155.017,193147,27.38844,11,90s,0
0.465,0.313,-13.006,0.0288,0.887,0.00101,0.146,0.413,111.085,236653,42.19799,14,70s,1
0.284,0.964,-4.055,0.131,0.353,0.178,0.616,0.304,110.874,191480,25.5254,9,80s,0
0.797,0.791,-6.134,0.177,0.0311,0.0239,0.139,0.964,97.373,244133,25.99022,13,00s,1
0.667,0.613,-5.353,0.0344,0.403,0.0,0.115,0.47,91.024,194453,44.86857,8,10s,1
0.855,0.788,-3.041,0.219,0.00709,0.0,0.358,0.809,99.992,262800,50.23889,12,00s,1
0.339,0.595,-10.752,0.0601,0.871,0.00688,0.378,0.345,164.929,109600,58.67923,5,60s,0
0.479,0.565,-6.19,0.0316,0.645,0.0,0.107,0.166,135.927,192640,46.04194,6,00s,0
0.346,0.972,-4.872,0.233,5.52e-05,0.00037,0.599,0.315,157.795,222772,60.96034,9,10s,0
0.543,0.658,-8.091,0.0298,0.351,1.01e-06,0.0512,0.874,178.075,197880,34.42767,11,90s,1
0.567,0.667,-9.651,0.0294,0.0376,0.000126,0.222,0.743,121.364,121173,36.00295,8,70s,1
0.423,0.0423,-26.136,0.103,0.832,0.0,0.129,0.177,82.532,144155,50.82142,8,60s,0
0.606,0.804,-4.386,0.0416,0.153,0.0,0.117,0.653,140.496,229760,41.69627,10,00s,1
0.262,0.212,-17.044,0.0332,0.415,0.0,0.124,0.0994,122.49,243133,34.10196,11,80s,1
0.477,0.0869,-21.548,0.047,0.948,0.0926,0.327,0.507,111.558,173082,27.96864,10,60s,0
0.632,0.571,-10.417,0.0768,0.471,0.0,0.108,0.679,153.1,157347,27.50473,11,60s,0
0.581,0.791,-7.262,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,256293,37.92998,11,80s,1
0.618,0.842,-6.489,0.0412,0.221,0.0,0.158,0.934,81.144,116707,38.58753,5,60s,1
0.328,0.556,-10.74,0.0351,0.153,0.811,0.0809,0.933,86.855,142267,43.41228,6,60s,0
0.835,0.707,-5.074,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093,44.68763,11,00s,1
0.4,0.0911,-15.343,0.041,0.926,5.45e-06,0.176,0.26,77.5,153600,40.13425,8,60s,1
0.124,0.0642,-22.157,0.036,0.94,0.975,0.123,0.151,170.086,198147,33.67879,11,10s,0
0.108,0.0482,-20.631,0.0369,0.727,0.839,0.104,0.055,82.371,136360,43.23952,6,60s,0
0.703,0.35,-17.997,0.0294,0.212,5.55e-06,0.108,0.734,130.49,161867,25.02284,9,80s,0
0.553,0.906,-1.909,0.0418,0.00526,5.78e-06,0.123,0.813,135.906,191440,55.62674,7,00s,0
0.728,0.914,-1.413,0.31,0.156,6.92e-05,0.15,0.527,74.969,185600,66.83558,6,10s,0
0.54,0.522,-10.235,0.0295,0.421,1.07e-06,0.079,0.469,82.006,464000,24.30785,19,80s,0
0.287,0.878,-7.332,0.0561,4.67e-06,0.0273,0.101,0.0916,180.062,298413,26.00013,15,00s,0
0.683,0.879,-9.487,0.0459,0.0955,0.0828,0.448,0.702,97.062,306120,57.56252,12,80s,1
0.498,0.515,-11.985,0.0395,0.0936,0.0,0.1,0.616,127.761,187893,26.25146,8,70s,1
0.667,0.58,-7.218,0.0289,0.077,0.0,0.15,0.505,144.504,229400,15.81412,10,80s,1
0.612,0.821,-8.236,0.0367,0.168,0.0,0.156,0.936,147.37,166400,29.53557,10,60s,1
0.566,0.814,-5.31,0.127,0.135,0.789,0.324,0.56,118.007,182133,35.08615,9,80s,0
0.702,0.705,-6.666,0.0543,0.258,5.93e-06,0.0879,0.743,154.911,213445,38.58291,10,10s,1
0.472,0.947,-3.128,0.0296,0.0434,0.0854,0.392,0.923,109.899,284373,35.54899,14,10s,0
0.472,0.485,-8.412,0.0274,0.0655,1.76e-05,0.0801,0.277,138.788,213507,43.10834,9,90s,1
0.52,0.52,-12.81,0.0372,0.817,0.0,0.555,0.588,109.349,154133,27.53931,8,60s,0
0.633,0.931,-7.752,0.0686,0.0504,0.109,0.375,0.676,109.116,330933,48.96445,12,90s,1
0.404,0.755,-2.981,0.035,0.000849,0.84,0.283,0.374,99.98,227627,46.57064,7,00s,0
0.373,0.862,-14.817,0.0492,5.7e-05,0.0,0.0823,0.457,94.713,79187,45.51755,3,90s,0
0.768,0.807,-5.508,0.106,0.053,2.99e-06,0.214,0.575,112.001,284000,68.59261,13,10s,1
0.657,0.739,-4.081,0.274,0.141,0.0,0.178,0.543,181.994,202221,27.02196,11,10s,1
0.481,0.307,-15.283,0.0556,0.961,0.667,0.0983,0.969,153.919,94000,42.00953,4,90s,0
0.714,0.338,-10.994,0.0456,0.93,0.00644,0.389,0.667,128.386,165067,29.16606,7,60s,1
0.289,0.495,-9.153,0.0332,0.0692,3.09e-05,0.104,0.132,123.071,234800,47.23512,13,70s,0
0.442,0.0469,-27.494,0.0383,0.912,0.809,0.101,0.643,94.978,155627,28.43269,10,10s,0
0.271,0.306,-17.9,0.0309,0.672,0.0163,0.12,0.36,90.2,136627,38.0982,6,80s,0
0.438,0.609,-8.28,0.029,0.424,0.000143,0.0615,0.874,137.704,192907,27.83348,8,70s,1
0.852,0.752,-8.454,0.0687,0.204,1.02e-05,0.0606,0.924,106.006,251027,64.76675,10,70s,1
0.45,0.294,-12.022,0.0318,0.832,3.53e-05,0.108,0.146,141.148,182080,27.5791,14,70s,1
0.617,0.621,-10.233,0.0306,0.0207,3.8e-05,0.0879,0.378,124.992,227173,23.6814,13,10s,1
0.484,0.573,-16.622,0.0611,0.299,0.00393,0.261,0.313,113.563,283867,41.49012,9,70s,1
0.663,0.875,-3.301,0.183,0.0821,0.0,0.124,0.51,91.056,223999,34.56241,6,10s,1
0.28,0.83,-11.128,0.0594,0.0624,0.916,0.409,0.449,75.119,115560,32.66886,7,90s,0
0.511,0.864,-11.973,0.0569,0.00824,3.89e-06,0.291,0.5,144.952,230427,27.65023,9,90s,1
0.592,0.973,-3.369,0.0659,0.00483,0.00342,0.266,0.826,139.887,149293,29.02731,9,10s,0
0.782,0.386,-15.443,0.0302,0.0184,0.0,0.0525,0.904,105.85,195558,20.19359,6,60s,1
0.771,0.807,-6.258,0.058,0.0107,0.0135,0.568,0.707,98.003,256960,37.48935,10,10s,0
0.545,0.181,-16.18,0.0635,0.988,0.895,0.114,0.712,175.619,367667,28.07416,19,80s,0
0.373,0.364,-6.563,0.0305,0.78,2.24e-06,0.342,0.451,70.31,162107,19.23684,8,60s,1
0.404,0.632,-8.504,0.0343,0.152,0.0,0.266,0.717,171.823,188627,42.09997,8,70s,1
0.583,0.36,-13.415,0.033,0.601,5.37e-05,0.114,0.223,126.218,292323,49.37639,12,80s,0
0.392,0.529,-14.679,0.0341,0.103,0.0388,0.105,0.68,106.308,207240,69.56151,7,70s,0
0.675,0.444,-11.795,0.0711,0.842,0.0,0.139,0.65,137.951,207240,37.02599,10,60s,0
0.595,0.829,-7.407,0.0369,0.236,8.26e-06,0.376,0.737,154.101,204560,24.18937,11,80s,1
0.428,0.145,-17.849,0.044,0.809,0.771,0.0975,0.076,95.888,987493,43.13983,45,60s,0
0.569,0.199,-15.037,0.0442,0.925,0.000841,0.11,0.467,95.533,258867,24.1078,11,70s,0
0.484,0.826,-5.746,0.0305,0.192,8e-05,0.198,0.605,130.701,197973,60.08237,9,70s,1
0.483,0.28,-33.437,0.224,0.119,0.597,0.316,0.083,138.287,243920,49.24679,10,10s,0
0.679,0.494,-8.894,0.0405,0.0568,1.31e-05,0.0441,0.561,150.126,310493,36.7167,15,90s,1
0.743,0.404,-10.102,0.0703,0.381,0.0,0.0782,0.766,139.922,214253,35.94004,11,70s,0
0.95,0.743,-5.861,0.238,0.0646,1.19e-05,0.103,0.62,136.98,257546,47.4478,14,10s,1
0.427,0.192,-16.132,0.0355,0.99,0.893,0.143,0.243,97.936,219040,113.09108,8,60s,0
0.607,0.681,-12.471,0.0489,0.0928,0.00041,0.351,0.784,95.48,233720,26.48337,9,70s,1
0.604,0.2,-23.347,0.111,0.512,0.671,0.193,0.392,95.31,156619,42.61085,9,70s,0
0.0935,0.852,-24.993,0.0525,0.0942,0.949,0.295,0.0188,86.322,60147,21.54359,4,70s,0
0.741,0.645,-5.116,0.0963,0.192,0.0,0.163,0.488,149.07,231964,52.37253,11,10s,1
0.545,0.476,-11.185,0.0367,0.00421,1.27e-05,0.212,0.449,136.452,136227,22.05371,9,60s,1
0.668,0.261,-13.003,0.0405,0.588,0.000391,0.116,0.282,147.446,219493,19.93794,10,90s,0
0.793,0.468,-10.054,0.0408,0.00839,0.0786,0.0689,0.534,95.999,205602,36.86925,11,10s,0
